date,score_0_100,breadth_score,trend_score,momentum_score,liquidity_score,volatility_score,leadership_score,capital_score,ew_return_1d,advancers,decliners,unchanged,new_high_20,new_low_20,limit_up_like,limit_down_like,coverage,ew_index,score_ma3,breadth_ma3,score_delta3,state,silver_finger,gold_finger
2020-01-03,42.090633455820075,57.592592592592595,0.0,50.782472613458566,50.0,50.0,50.0,51.50228831306293,0.005007627710209772,1866,1374,289,0,0,59,7,3529,1005.0076277102098,42.090633455820075,57.592592592592595,,TRANSITION,False,False
2020-01-06,42.36603802224314,58.43483556638246,0.0,50.98928276999173,50.0,50.0,50.0,52.17873430297521,0.007262447676584016,1919,1365,245,0,0,75,5,3529,1012.3064430210231,42.22833573903161,58.01371407948753,,TRANSITION,False,False
2020-01-07,48.86361980645375,82.33382570162482,0.0,53.85542168674702,50.0,50.0,50.0,54.037002560709915,0.013456675202366377,2787,598,146,0,0,80,2,3531,1025.92872203002,44.44009709483899,66.12041795353329,,TRANSITION,False,False
2020-01-08,31.043714862577716,19.02283897080081,0.0,42.80227172075326,50.43072799390978,50.0,50.0,46.06110325356118,-0.01312965582146274,658,2801,73,0,0,53,5,3532,1012.4586310124126,40.75779089709153,53.26383341293604,-11.04691859324236,DEFENSIVE,False,False
2020-01-09,49.5055021910214,88.09454333236066,0.0,55.103668261562966,43.25197891543747,50.0,50.0,54.570385627623395,0.015234618758744661,3019,408,104,0,0,62,1,3531,1027.8830522648873,43.13761228668429,63.150402668262096,7.139464168778261,TRANSITION,True,False
2020-01-10,34.5116788350414,35.924369747899156,0.0,48.08432382840342,39.01102708801744,50.0,50.0,49.32567521206966,-0.002247749293101142,1197,2135,198,0,0,39,7,3530,1025.5726288607682,38.35363196288017,47.68058401702021,-14.351940971412347,DEFENSIVE,False,False
2020-01-13,45.77253258069596,76.73071058249467,0.0,52.510699001426616,40.354664147991635,50.0,50.0,53.20100925319099,0.010670030843969974,2516,763,250,0,0,73,4,3529,1036.515520443444,43.26323786891959,66.91654122091815,14.728817718118243,TRANSITION,True,False
2020-01-14,36.971827401583795,42.4886191198786,0.0,49.04988123515444,43.25789523148799,50.0,50.0,50.07012303235565,0.00023374344118549367,1400,1895,236,0,0,49,7,3531,1036.7577991480346,39.08534627244038,51.714566483424136,-12.533674789437605,DEFENSIVE,False,False
2020-01-15,32.73430465967826,30.437352245862883,0.0,46.74576121609246,37.87553379251107,50.0,50.0,48.63544693844023,-0.004548510205199221,1030,2354,148,0,0,38,6,3532,1032.0420957182898,38.492888213986,49.88556064941204,-1.7773741753631427,DEFENSIVE,False,False
2020-01-16,33.82306222513278,29.6164139161463,0.0,47.22222222222223,36.277991529269016,64.41475869820891,50.0,49.049016271032556,-0.0031699457632248062,996,2367,169,0,0,42,2,3532,1028.770578249498,34.50973142879828,34.180795093962594,-11.949470355563179,DEFENSIVE,False,False
2020-01-17,34.950694647848934,34.40729483282675,0.0,48.207617625093356,34.74539437036903,64.3876637985885,50.0,49.34305520928082,-0.0021898159690639505,1132,2158,247,0,0,44,12,3537,1026.517760008744,33.83602051088666,31.487020331611976,-2.021132753734861,DEFENSIVE,False,False
2020-01-20,45.379492339819464,70.51435406698565,0.0,52.56274015712119,39.251975174321736,63.34400565518151,50.0,52.88591915676921,0.009619730522564027,2358,986,196,0,0,80,9,3540,1036.392584236654,38.05108307093372,44.846020938652906,12.645187680141206,TRANSITION,False,False
2020-01-21,31.38267916086499,21.069364161849713,0.0,43.79524301964839,40.547492882927614,61.384732397108266,50.0,46.5090899061067,-0.011636366979644309,729,2731,83,0,0,60,23,3543,1024.3327397914945,37.237622049511124,41.99700435388737,-2.4403830642677917,DEFENSIVE,False,False
2020-01-22,39.22079788080916,48.13027744270205,0.0,50.0,40.251185018829325,61.3274442986425,50.0,50.356126748900046,0.0011870891630001287,1596,1720,230,0,0,57,23,3546,1025.5487140862072,38.6609897938312,46.571331890512475,4.270103232960224,DEFENSIVE,False,False
2020-01-23,27.521837614826396,7.75568181818182,0.0,35.71428571428572,50.437946902611785,56.659806871708874,50.0,39.88203161150853,-0.03372656129497156,273,3247,27,0,0,31,72,3547,990.9604825195994,32.708438218833514,25.65177447424453,-17.85765472499307,DEFENSIVE,False,False
2020-02-03,14.494655378117812,4.393128696141929,0.0,10.034752389226753,13.557913135822908,36.888599571395616,50.0,23.372268363706354,-0.08875910545431215,156,3395,0,0,0,83,3008,3551,903.0037165505862,27.079096957917788,20.0930293190086,-16.888023782747176,RISK_OFF,False,False
2020-02-04,36.60862239581887,40.95972579263068,0.0,43.989983305509206,58.896920084714885,34.943781899909254,50.0,48.825544982733234,-0.003914850057555885,1434,2067,50,0,0,218,33,3551,899.468592398875,26.208371796254358,17.702845435651476,-2.6121754849902885,DEFENSIVE,False,False
2020-02-05,50.20607937484449,91.23919308357348,0.0,58.07754442649431,49.38726759923262,33.6882864707057,50.0,58.15461306043033,0.027182043534767768,3166,304,83,0,0,187,0,3553,923.9179868356175,33.769785716260394,45.530682524115356,22.684241760018097,TRANSITION,False,False
2020-02-06,52.52679828649873,93.19826338639653,10.29535864978903,57.05882352941174,49.349832238891835,33.125890405999215,50.0,57.885466081926964,0.02628488693975655,3220,235,100,0,0,251,2,3555,948.2030666611992,46.447166685720696,75.13239408753357,38.03214290838092,TRANSITION,False,False
2020-02-07,48.874845739342604,62.66666666666667,11.72665916760405,52.334665697674424,46.83923300758314,33.06830551665551,100.0,53.598637634018864,0.011995458780062878,2115,1260,181,193,6,172,6,3556,959.5771974624628,50.53590780022861,82.36804104554557,12.266223343523734,TRANSITION,False,False
2020-02-10,52.25019020801079,77.34487734487733,13.100927748102334,56.19811842833427,47.53160452889256,31.969635196975165,87.95333145909474,54.8406042595995,0.01613534753199835,2680,785,92,135,0,157,37,3557,975.0603090273006,51.21727807795071,77.73660246598018,2.0441108331663003,TRANSITION,False,False
2020-02-11,37.2609599165868,37.16997923464847,12.11354693648117,47.850939198777695,43.35346189676064,31.8219926885149,62.64755480607083,48.36281613678254,-0.005457279544058209,1253,2118,187,45,0,58,42,3558,969.7391323486229,46.12866528798006,59.06050774873083,-15.265838369911933,DEFENSIVE,False,False
