date,v2_yang_pct,v2_yin_pct,v2_position_tenths,v2_signal,v2_state,score_0_100,breadth_score,trend_score,leadership_score
2020-01-03,21.0503133,78.9496867,2,NONE,DEFENSIVE,42.09063345582008,57.5925925925926,0.0,50.0
2020-01-06,21.0503133,78.9496867,2,NONE,DEFENSIVE,42.36603802224314,58.43483556638246,0.0,50.0
2020-01-07,21.0503133,78.9496867,2,NONE,DEFENSIVE,48.86361980645375,82.33382570162482,0.0,50.0
2020-01-08,21.0503133,78.9496867,2,NONE,DEFENSIVE,31.04371486257772,19.02283897080081,0.0,50.0
2020-01-09,21.0503133,78.9496867,3,BOUNCE,DEFENSIVE,49.5055021910214,88.09454333236066,0.0,50.0
2020-01-10,21.0503133,78.9496867,2,NONE,DEFENSIVE,34.5116788350414,35.92436974789916,0.0,50.0
2020-01-13,21.0503133,78.9496867,2,NONE,DEFENSIVE,45.77253258069596,76.73071058249467,0.0,50.0
2020-01-14,21.0503133,78.9496867,2,NONE,DEFENSIVE,36.9718274015838,42.4886191198786,0.0,50.0
2020-01-15,21.0503133,78.9496867,2,NONE,DEFENSIVE,32.73430465967826,30.437352245862883,0.0,50.0
2020-01-16,21.0503133,78.9496867,2,NONE,DEFENSIVE,33.82306222513278,29.6164139161463,0.0,50.0
2020-01-17,21.0503133,78.9496867,2,NONE,DEFENSIVE,34.950694647848934,34.40729483282675,0.0,50.0
2020-01-20,21.0503133,78.9496867,2,NONE,DEFENSIVE,45.37949233981946,70.51435406698565,0.0,50.0
2020-01-21,21.0503133,78.9496867,2,NONE,DEFENSIVE,31.38267916086499,21.069364161849716,0.0,50.0
2020-01-22,21.0503133,78.9496867,2,NONE,DEFENSIVE,39.22079788080916,48.13027744270205,0.0,50.0
2020-01-23,21.0503133,78.9496867,2,NONE,DEFENSIVE,27.5218376148264,7.75568181818182,0.0,50.0
2020-02-03,21.0503133,78.9496867,2,NONE,DEFENSIVE,14.494655378117812,4.393128696141929,0.0,50.0
2020-02-04,21.0503133,78.9496867,2,NONE,DEFENSIVE,36.60862239581887,40.95972579263068,0.0,50.0
2020-02-05,21.0503133,78.9496867,2,NONE,DEFENSIVE,50.20607937484449,91.23919308357348,0.0,50.0
2020-02-06,25.165770700843883,74.83422929915612,3,NONE,DEFENSIVE,52.52679828649873,93.19826338639652,10.29535864978903,50.0
2020-02-07,48.57908248166479,51.42091751833521,4,NONE,TRANSITION,48.87484573934261,62.66666666666667,11.72665916760405,100.0
2020-02-10,43.625232490328926,56.374767509671074,4,NONE,TRANSITION,52.25019020801079,77.34487734487733,13.100927748102334,87.95333145909474
2020-02-11,31.670269373636874,68.32973062636313,3,NONE,DEFENSIVE,37.2609599165868,37.16997923464847,12.11354693648117,62.64755480607083
2020-02-12,41.852823922016285,58.147176077983715,4,NONE,TRANSITION,53.28148401882582,87.09295441089402,14.813254703734907,82.57511934849762
2020-02-13,39.45316208613528,60.54683791386472,4,NONE,DEFENSIVE,35.191812329845334,22.32785940651109,13.962952568060624,78.0662363177098
2020-02-14,36.51882348513324,63.48117651486676,4,NONE,DEFENSIVE,41.07908188518335,47.60606060606061,14.333800841514726,71.31837307152875
2020-02-17,53.18134770673212,46.81865229326788,5,GOLD,TRANSITION,62.76135699785487,97.91196388261852,23.2398316970547,100.0
2020-02-18,56.18984875875421,43.81015124124579,6,NONE,RECOVERY,57.84949226167908,76.32344386271089,30.765993265993263,100.0
2020-02-19,55.2614180309417,44.7385819690583,6,NONE,RECOVERY,45.04431701576121,33.45049794961922,30.493273542600896,98.20627802690582
2020-02-20,60.37735513996637,39.62264486003363,6,GOLD,RECOVERY,62.50034079728759,86.11351195620858,41.24159192825112,100.0
2020-02-21,61.45848807578476,38.54151192421524,6,NONE,RECOVERY,57.32959673729479,63.97962241534312,43.946188340807176,100.0
2020-02-24,61.04634166460376,38.95365833539624,6,NONE,RECOVERY,55.70853439896334,58.29204313611192,42.91514981797816,100.0
2020-02-25,59.346117076595746,40.653882923404254,6,NONE,RECOVERY,47.48118738871428,30.344434955878164,38.66181410974245,100.0
2020-02-26,53.63536166460375,46.36463833539625,5,NONE,TRANSITION,46.65689213633534,35.96997690531178,38.95267432091851,87.24446933632035
2020-02-27,58.27270607793335,41.72729392206665,6,NONE,RECOVERY,50.31598650042244,51.5106192043075,40.63287594511341,95.92551106132736
2020-02-28,24.763211030198715,75.23678896980128,5,NONE,DEFENSIVE,25.911259273763747,5.925301881493961,17.604254128183598,42.72320179121187
2020-03-02,56.990431730851064,43.009568269148936,3,BOUNCE,RECOVERY,63.66717753127213,96.88026981450253,32.76875699888018,100.0
2020-03-03,57.90975684184159,42.09024315815841,4,NONE,RECOVERY,57.35897085893036,73.11669128508123,35.06856982927512,100.0
2020-03-04,58.47579700448179,41.52420299551821,5,NONE,RECOVERY,55.181389991813866,68.24284880326911,36.48459383753501,100.0
2020-03-05,60.128430541669005,39.871569458330995,6,NONE,RECOVERY,62.25504266097384,81.81291630466261,40.61887426491179,100.0
2020-03-06,59.45991060596806,40.54008939403194,6,NONE,RECOVERY,48.25367557905296,40.07611241217799,38.94648360885402,100.0
2020-03-09,24.568310583552815,75.43168941644718,2,SILVER,DEFENSIVE,30.315277424293345,13.397399660825329,24.81087139254693,35.99047352199496
2020-03-10,54.438239771000276,45.561760228999724,3,BOUNCE,TRANSITION,58.83760118585166,84.46796338672769,30.050434295320816,96.79181843653684
2020-03-11,51.66382864183245,48.33617135816755,4,NONE,TRANSITION,40.366732541902,27.246292526897356,26.63210983468759,93.70972261137574
2020-03-12,10.026151275056055,89.97384872494395,2,SILVER,RISK_OFF,25.159957037038268,14.5851033701501,16.942264573991032,11.042600896860987
2020-03-13,3.3262566669467786,96.67374333305322,2,SILVER,RISK_OFF,26.206097734001936,22.501427755568248,12.80112044817927,0.0
2020-03-16,1.17080073557423,98.82919926442577,2,NONE,RISK_OFF,19.657817697667333,8.328627893845287,7.408963585434174,0.0
2020-03-17,1.0540272969179043,98.94597270308209,2,NONE,RISK_OFF,29.46838655199714,41.31578947368421,7.116839450826562,0.0
2020-03-18,0.49832908829459543,99.5016709117054,2,NONE,RISK_OFF,22.088110921770948,17.401325266493807,5.726687202464296,0.0
2020-03-19,0.9214239505316171,99.07857604946838,2,NONE,RISK_OFF,35.31601195777912,62.7256843331392,6.785114717403469,0.0
2020-03-20,31.857869239597317,68.14213076040268,3,NONE,DEFENSIVE,46.636937654133206,80.77034462785984,8.501118568232663,66.2192393736018
2020-03-23,0.6397676528096172,99.36023234719038,2,NONE,RISK_OFF,17.754176146042536,8.4554678692221,6.080514397539838,0.0
2020-03-24,19.654419091165785,80.34558090883422,3,BOUNCE,RISK_OFF,46.1058132482228,87.21655328798185,8.009505171931787,39.93570030752027
2020-03-25,33.53409601748251,66.46590398251749,3,NONE,DEFENSIVE,51.81764134569096,92.9869392390687,11.090909090909092,67.62237762237761
2020-03-26,30.720642507436395,69.2793574925636,3,NONE,DEFENSIVE,31.26915546538035,26.555299539170505,10.134190662566397,62.300810735253
2020-03-27,23.80034446932104,76.19965553067897,2,NONE,DEFENSIVE,34.536871575558614,40.43569083855566,10.07264599050014,47.20592344230232
2020-03-30,1.4528412762569836,98.54715872374301,2,NONE,RISK_OFF,22.865906780324387,18.33664490491059,8.114525139664805,0.0
2020-03-31,1.8994771421787717,98.10052285782123,2,NONE,RISK_OFF,29.850337789952945,41.7683834474546,9.231843575418996,0.0
2020-04-01,1.3226940537688445,98.67730594623116,2,NONE,RISK_OFF,27.76079531739361,34.52981311183625,7.788944723618091,0.0
2020-04-02,31.872692782132887,68.12730721786711,3,BOUNCE,DEFENSIVE,51.776451640322726,89.02161547212741,21.6499162479062,54.74595198213289
2020-04-03,33.66614424779453,66.33385575220547,3,NONE,DEFENSIVE,35.557263485168555,30.544296467863347,22.62702400893356,57.81686208821887
2020-04-07,55.948550803492594,44.051449196507406,6,GOLD,RECOVERY,63.89028236864625,98.36711711711712,36.532550991897175,94.42581726739311
2020-04-08,52.31413249111483,47.68586750888517,5,NONE,TRANSITION,51.75654594042272,59.18246445497631,43.40597932383347,80.45543447890472
2020-04-09,59.94905029581005,40.05094970418995,6,NONE,RECOVERY,55.9525431859681,64.83246234245313,51.66201117318436,89.94413407821229
2020-04-10,38.33253101775544,61.66746898224456,5,NONE,DEFENSIVE,34.99907930721856,13.46590909090909,37.171970965940815,55.30429927414852
2020-04-13,22.772656934840874,77.22734306515912,4,NONE,DEFENSIVE,35.281513515929085,31.76300578034682,34.61753210496929,23.478503629257403
2020-04-14,56.03864701512276,43.96135298487724,6,GOLD,RECOVERY,61.22334760952191,89.68481375358166,45.438058035714285,86.83035714285714
2020-04-15,54.573516413128495,45.426483586871505,5,NONE,TRANSITION,43.60421187522193,27.43055555555556,40.76815642458101,87.70949720670392
2020-04-16,53.21149516785615,46.78850483214385,5,NONE,TRANSITION,50.84923333910428,54.85040797824116,42.54251463618623,83.17535545023696
2020-04-17,53.48315838776817,46.51684161223183,5,NONE,TRANSITION,49.32590613846956,43.88424821002387,43.24324324324324,83.1568682084146
2020-04-20,63.36594727435897,36.63405272564103,6,GOLD,RECOVERY,59.176092479443945,73.13077152219243,48.71794871794872,100.0
2020-04-21,48.33973521889632,51.66026478110368,5,NONE,TRANSITION,44.37254001947045,30.419781483611278,43.74303232998885,71.46042363433668
2020-04-22,63.36095367444321,36.63904632555679,6,GOLD,RECOVERY,58.838114694679625,69.7151424287856,48.7054565701559,100.0
2020-04-23,58.47297764371523,41.52702235628477,6,NONE,RECOVERY,48.92234503892474,35.7870235670643,47.21913236929922,90.60066740823136
2020-04-24,13.314727363977749,86.68527263602225,2,SILVER,RISK_OFF,32.79987442216026,18.901915927938237,37.78859527121001,0.0
2020-04-27,12.323475453589317,87.67652454641069,2,NONE,RISK_OFF,36.618296178154246,36.43771827706635,35.30884808013356,0.0
2020-04-28,9.115678897493037,90.88432110250696,2,NONE,RISK_OFF,32.12814931327369,22.678369195922983,27.284122562674096,0.0
2020-04-29,28.873587094306448,71.12641290569356,3,NONE,DEFENSIVE,42.0775970045597,47.683682502213045,27.225788445436784,43.301702483952
2020-04-30,57.83261688680459,42.16738311319541,6,GOLD,RECOVERY,61.74506590951432,85.29914529914531,34.875594073245736,100.0
2020-05-06,60.6898529303502,39.3101470696498,6,GOLD,RECOVERY,62.5134095923216,84.001153070049,42.023346303501945,100.0
2020-05-07,55.08757731111111,44.91242268888889,6,NONE,RECOVERY,46.616675680940986,34.215945866431305,40.38888888888889,89.16666666666666
2020-05-08,62.58591025947821,37.41408974052179,6,GOLD,RECOVERY,61.74158458290295,79.34397163120568,46.76658340271996,100.0
2020-05-11,58.35188626337403,41.64811373662597,6,NONE,RECOVERY,50.59862107103174,41.86525448661372,47.33629300776915,90.2330743618202
2020-05-12,49.63667968796451,50.36332031203549,5,NONE,TRANSITION,46.4251279113612,37.02301194290708,46.159179145868,72.18524681087078
2020-05-13,63.014012734433045,36.985987265566955,6,NONE,RECOVERY,54.6854192690664,56.53357531760436,47.8375381203216,100.0
2020-05-14,44.28319616308204,55.71680383691796,5,NONE,TRANSITION,41.1373368697574,23.32855093256815,42.59977827050998,63.58093126385809
2020-05-15,46.580519797644776,53.419480202355224,5,NONE,TRANSITION,49.31248098085062,50.49773755656109,43.91798282072597,67.45635910224439
2020-05-18,44.35398253578363,55.64601746421637,4,NONE,TRANSITION,46.82077989933154,41.35316418780985,41.17891816920943,64.97919556171982
2020-05-19,61.78887497914587,38.21112502085413,6,GOLD,RECOVERY,59.38110472237933,73.63095238095238,46.769273433166944,98.25291181364392
2020-05-20,33.9055907556541,66.0944092443459,5,NONE,DEFENSIVE,40.42907694156381,27.63948497854077,42.29490022172949,41.13082039911309
2020-05-21,13.017992209670268,86.98200779032973,2,SILVER,RISK_OFF,35.21115148079817,28.7369640787949,37.0462732058742,0.0
2020-05-22,9.663466364784055,90.33653363521594,2,SILVER,RISK_OFF,30.37202031537681,18.391787852865697,28.654485049833887,0.0
2020-05-25,9.624731955869326,90.37526804413068,2,NONE,RISK_OFF,37.12636977750756,46.35143023934617,28.557585825027687,0.0
2020-05-26,49.64357325848326,50.35642674151674,3,NONE,TRANSITION,60.068762556878376,90.9533352419124,38.001660669803485,79.33849986161086
2020-05-27,45.22045874610695,54.77954125389305,4,NONE,TRANSITION,44.49153157589907,37.85755983654408,37.03241895261845,70.50429481850928
2020-05-28,28.6117358982835,71.3882641017165,3,NONE,DEFENSIVE,40.73472902493027,37.26059199071387,35.36821705426357,35.603543743078625
2020-05-29,51.80270912872164,48.19729087127836,4,NONE,TRANSITION,52.79598442240125,60.16090584028606,38.66906474820144,83.48090758162701
2020-06-01,66.1201161510108,33.879883848989195,7,GOLD,RECOVERY,70.83011366464858,95.39842873176208,55.60786485738023,100.0
2020-06-02,68.13015346459198,31.869846535408016,7,GOLD,RECOVERY,61.99641382197771,63.8140361267397,60.63623789764869,100.0
2020-06-03,67.62391574610282,32.376084253897176,7,NONE,RECOVERY,54.53183632279798,37.376093294460645,59.3698175787728,100.0
2020-06-04,68.15859083661233,31.841409163387667,7,NONE,RECOVERY,57.700318288557405,53.00884955752212,60.707377728654336,100.0
